,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
0,24 Hour Party People,2002,7.0,R,Biography,Michael Winterbottom,117,7.3,1,0.05982905982905983
1,24 Hour Party People,2002,7.0,R,Comedy,Michael Winterbottom,117,7.3,1,0.05982905982905983
2,24 Hour Party People,2002,7.0,R,Drama,Michael Winterbottom,117,7.3,1,0.05982905982905983
3,24 Hour Party People,2002,7.0,R,Music,Michael Winterbottom,117,7.3,1,0.05982905982905983
4,28 Days Later,2002,53.0,R,Horror,Danny Boyle,113,7.6,1,0.4690265486725664
5,28 Days Later,2002,53.0,R,Sci-Fi,Danny Boyle,113,7.6,1,0.4690265486725664
6,28 Days Later,2002,53.0,R,Thriller,Danny Boyle,113,7.6,1,0.4690265486725664
7,28 Weeks Later,2007,212.0,R,Horror,Juan Carlos Fresnadillo,100,7.0,1,2.12
8,28 Weeks Later,2007,212.0,R,Sci-Fi,Juan Carlos Fresnadillo,100,7.0,1,2.12
9,28 Weeks Later,2007,212.0,R,Thriller,Juan Carlos Fresnadillo,100,7.0,1,2.12
10,30 Days of Night,2007,67.0,R,Horror,David Slade,113,6.6,1,0.5929203539823009
11,30 Days of Night,2007,67.0,R,Thriller,David Slade,113,6.6,1,0.5929203539823009
12,300,2007,600.0,R,Action,Zack Snyder,117,7.7,1,5.128205128205129
13,300,2007,600.0,R,Fantasy,Zack Snyder,117,7.7,1,5.128205128205129
14,300,2007,600.0,R,History,Zack Snyder,117,7.7,1,5.128205128205129
15,300,2007,600.0,R,War,Zack Snyder,117,7.7,1,5.128205128205129
16,3:10 To Yuma,2007,45.0,R,Adventure,James Mangold,122,7.8,1,0.36885245901639346
17,3:10 To Yuma,2007,45.0,R,Crime,James Mangold,122,7.8,1,0.36885245901639346
18,3:10 To Yuma,2007,45.0,R,Drama,James Mangold,122,7.8,1,0.36885245901639346
19,3:10 To Yuma,2007,45.0,R,Western,James Mangold,122,7.8,1,0.36885245901639346
20,8MM,1999,1.0,R,Crime,Joel Schumacher,123,6.4,1,0.008130081300813009
21,8MM,1999,1.0,R,Mystery,Joel Schumacher,123,6.4,1,0.008130081300813009
22,8MM,1999,1.0,R,Thriller,Joel Schumacher,123,6.4,1,0.008130081300813009
23,A Better Tomorrow,1986,65.0,R,Action,John Woo,95,7.5,1,0.6842105263157895
24,A Better Tomorrow,1986,65.0,R,Crime,John Woo,95,7.5,1,0.6842105263157895
25,A Better Tomorrow,1986,65.0,R,Drama,John Woo,95,7.5,1,0.6842105263157895
26,A Better Tomorrow,1986,65.0,R,Thriller,John Woo,95,7.5,1,0.6842105263157895
27,A Better Tomorrow II,1987,199.0,R,Action,John Woo,105,7.3,1,1.8952380952380952
28,A Better Tomorrow II,1987,199.0,R,Crime,John Woo,105,7.3,1,1.8952380952380952
29,A Better Tomorrow II,1987,199.0,R,Drama,John Woo,105,7.3,1,1.8952380952380952
30,A Better Tomorrow II,1987,199.0,R,Thriller,John Woo,105,7.3,1,1.8952380952380952
31,A Bridge Too Far,1977,243.0,PG,Drama,Richard Attenborough,175,7.4,1,1.3885714285714286
32,A Bridge Too Far,1977,243.0,PG,History,Richard Attenborough,175,7.4,1,1.3885714285714286
33,A Bridge Too Far,1977,243.0,PG,War,Richard Attenborough,175,7.4,1,1.3885714285714286
34,A Christmas Story,1983,4.0,PG,Comedy,Bob Clark,94,8.1,1,0.0425531914893617
35,A Christmas Story,1983,4.0,PG,Family,Bob Clark,94,8.1,1,0.0425531914893617
36,A Clockwork Orange,1971,7.0,X,Crime,Stanley Kubrick,136,8.4,1,0.051470588235294115
37,A Clockwork Orange,1971,7.0,X,Drama,Stanley Kubrick,136,8.4,1,0.051470588235294115
38,A Clockwork Orange,1971,7.0,X,Sci-Fi,Stanley Kubrick,136,8.4,1,0.051470588235294115
39,A Fistful of Dollars,1964,109.0,M,Western,Sergio Leone,99,8.0,1,1.101010101010101
40,A Fistful of Dynamite,1971,471.0,PG,Adventure,Sergio Leone,138,7.7,1,3.4130434782608696
