Year,CountyCode,County,HarvestedAcres,Yield,Production,Price
2020,1,Alameda,2530.0,5.14,13000.0,1497.69
2020,5,Amador,5360.0,2.31,12400.0,1318.31
2020,9,Calaveras,579.0,3.06,1770.0,1325.99
2020,11,Colusa,747.0,6.02,4500.0,684.67
2020,13,ContraCosta,1940.0,4.69,9090.0,751.27
2020,17,ElDorado,2620.0,2.38,6240.0,1548.56
2020,19,Fresno,56900.0,12.13,690000.0,362.14
2020,29,Kern,25200.0,7.54,190000.0,314.04
2020,31,Kings,3590.0,16.46,59100.0,286.87
2020,33,Lake,9580.0,4.12,39500.0,1329.37
2020,39,Madera,33000.0,11.82,390000.0,348.98
2020,41,Marin,195.0,1.33,260.0,3607.69
2020,45,Mendocino,16400.0,3.37,55200.0,1488.8
2020,47,Merced,13200.0,10.91,144000.0,440.41
2020,53,Monterey,44900.0,2.1,94300.0,1123.98
2020,55,Napa,45200.0,2.2,99300.0,4646.48
2020,57,Nevada,408.0,,,
2020,61,Placer,315.0,2.79,879.0,2235.49
2020,65,Riverside,1740.0,6.72,11700.0,1623.93
2020,67,Sacramento,36000.0,8.19,295000.0,528.73
2020,69,SanBenito,4740.0,5.23,24800.0,1402.14
2020,71,SanBernardino,372.0,0.61,227.0,1938.33
2020,73,SanDiego,1370.0,2.24,3070.0,1695.77
2020,77,SanJoaquin,91200.0,6.67,608000.0,560.71
2020,79,SanLuisObispo,43800.0,3.04,133000.0,1640.89
2020,81,SanMateo,176.0,,,
2020,83,SantaBarbara,14400.0,2.97,42800.0,2192.43
2020,85,SantaClara,1730.0,3.49,6040.0,1983.77
2020,87,SantaCruz,670.0,2.39,1600.0,3008.75
2020,89,Shasta,200.0,2.5,500.0,1000.0
2020,95,Solano,4000.0,5.6,22400.0,945.94
2020,97,Sonoma,56800.0,2.61,148000.0,2375.08
2020,99,Stanislaus,8500.0,9.49,80700.0,440.61
2020,103,Tehama,138.0,4.23,584.0,1804.79
2020,107,Tulare,6500.0,17.23,112000.0,317.0
2020,113,Yolo,19200.0,7.81,150000.0,699.67
2019,1,Alameda,3390.0,5.34,18100.0,1503.04
2019,5,Amador,4880.0,3.55,17300.0,1250.0
2019,9,Calaveras,711.0,4.5,3200.0,1419.69
2019,11,Colusa,1890.0,8.84,16700.0,806.35
2019,13,ContraCosta,2140.0,5.47,11700.0,809.4
2019,17,ElDorado,2640.0,2.66,7020.0,1722.51
2019,19,Fresno,53500.0,13.83,740000.0,343.65
2019,29,Kern,28500.0,8.46,241000.0,238.81
2019,31,Kings,3670.0,17.19,63100.0,268.86
2019,33,Lake,9340.0,5.05,47200.0,1773.62
2019,39,Madera,34100.0,11.26,384000.0,340.01
2019,41,Marin,195.0,2.08,406.0,3371.92
2019,43,Mariposa,73.0,0.52,38.0,1263.16
2019,45,Mendocino,16500.0,4.11,67800.0,1678.6
2019,47,Merced,13200.0,11.36,150000.0,398.3
2019,53,Monterey,44700.0,2.95,132000.0,1409.82
2019,55,Napa,44200.0,3.62,160000.0,5862.26
2019,57,Nevada,416.0,3.92,1630.0,1564.42
2019,61,Placer,307.0,3.75,1150.0,1386.09
2019,65,Riverside,1730.0,3.82,6600.0,2503.64
2019,67,Sacramento,35500.0,8.9,316000.0,555.13
2019,69,SanBenito,4740.0,4.62,21900.0,1526.21
2019,71,SanBernardino,219.0,1.38,302.0,1231.79
2019,73,SanDiego,1510.0,2.38,3600.0,1550.0
2019,77,SanJoaquin,95900.0,7.11,682000.0,546.14
2019,79,SanLuisObispo,48400.0,3.1,150000.0,1695.15
2019,81,SanMateo,181.0,,,
2019,83,SantaBarbara,14900.0,3.37,50200.0,2113.13
2019,85,SantaClara,1700.0,3.4,5780.0,1997.4
2019,87,SantaCruz,679.0,2.55,1730.0,3384.97
2019,89,Shasta,170.0,1.7,289.0,1000.0
2019,95,Solano,3730.0,5.47,20400.0,1058.19
2019,97,Sonoma,57500.0,4.0,230000.0,2843.57
2019,99,Stanislaus,9230.0,9.17,84600.0,481.54
2019,103,Tehama,162.0,3.36,544.0,1604.78
2019,105,Trinity,44.0,1.93,85.0,1729.41
2019,107,Tulare,6260.0,18.69,117000.0,290.0
2019,113,Yolo,19100.0,7.17,137000.0,789.36
2018,1,Alameda,3390.0,5.34,18100.0,1503.04
2018,5,Amador,4910.0,3.71,18200.0,1362.09
2018,9,Calaveras,711.0,3.21,2280.0,1486.84
2018,11,Colusa,1970.0,8.22,16200.0,853.46
2018,13,ContraCosta,2440.0,5.29,12900.0,897.83
2018,17,ElDorado,2670.0,2.57,6850.0,1630.51
2018,19,Fresno,59500.0,12.92,769000.0,373.14
2018,29,Kern,29200.0,9.45,276000.0,299.0
2018,31,Kings,3670.0,15.07,55300.0,293.16
2018,33,Lake,9250.0,5.02,46400.0,1755.82
